"","concentration_pair","drug_pair","rep","destination.well","pipetting_iteration","source.well","Destination_Plate","Source_Position","volume"
"184","1-max_4","CD",3,"G07","well1","C1","384_Master","Master_Library_DWPlate",30
"185","1-max_5-min","CD",3,"B18","well1","C1","384_Master","Master_Library_DWPlate",30
"186","1-max_6-DMSO","CD",3,"N05","well1","C1","384_Master","Master_Library_DWPlate",30
"187","2_1-max","CD",3,"M06","well1","C2","384_Master","Master_Library_DWPlate",30
"188","2_2","CD",3,"P02","well1","C2","384_Master","Master_Library_DWPlate",30
"189","2_3","CD",3,"E02","well1","C2","384_Master","Master_Library_DWPlate",30
"190","2_4","CD",3,"H07","well1","C2","384_Master","Master_Library_DWPlate",30
"191","2_5-min","CD",3,"D23","well1","C2","384_Master","Master_Library_DWPlate",30
"192","2_6-DMSO","CD",3,"A03","well1","C2","384_Master","Master_Library_DWPlate",30
"193","3_1-max","CD",3,"G03","well1","C3","384_Master","Master_Library_DWPlate",30
"194","3_2","CD",3,"M08","well1","C3","384_Master","Master_Library_DWPlate",30
"195","3_3","CD",3,"F20","well1","C3","384_Master","Master_Library_DWPlate",30
"196","3_4","CD",3,"I03","well1","C3","384_Master","Master_Library_DWPlate",30
"197","3_5-min","CD",3,"I15","well1","C3","384_Master","Master_Library_DWPlate",30
"198","3_6-DMSO","CD",3,"J16","well1","C3","384_Master","Master_Library_DWPlate",30
"199","4_1-max","CD",3,"L01","well1","C4","384_Master","Master_Library_DWPlate",30
"200","4_2","CD",3,"L17","well1","C4","384_Master","Master_Library_DWPlate",30
"201","4_3","CD",3,"K10","well1","C4","384_Master","Master_Library_DWPlate",30
"202","4_4","CD",3,"O01","well1","C4","384_Master","Master_Library_DWPlate",30
"203","4_5-min","CD",3,"K21","well1","C4","384_Master","Master_Library_DWPlate",30
"204","4_6-DMSO","CD",3,"P04","well1","C4","384_Master","Master_Library_DWPlate",30
"205","5-min_1-max","CD",3,"O02","well1","C5","384_Master","Master_Library_DWPlate",30
"206","5-min_2","CD",3,"J18","well1","C5","384_Master","Master_Library_DWPlate",30
"207","5-min_3","CD",3,"G11","well1","C5","384_Master","Master_Library_DWPlate",30
"208","5-min_4","CD",3,"O05","well1","C5","384_Master","Master_Library_DWPlate",30
"209","5-min_5-min","CD",3,"N07","well1","C5","384_Master","Master_Library_DWPlate",30
